DUBS,20240209,96.74,97.28,96.53,96.94,0
DUFD,20240209,6.66,40,6.66,40,0
DUFI,20240209,0.01,6.66,0.01,6.66,0
DUOF,20240209,6.66,13.33,6.66,6.66,0
DUOH,20240209,13.33,13.33,13.33,13.33,0
DUSL,20240209,1109.07,1115.87,1108.38,1115.02,0
DUSM,20240209,1643.88,1648.35,1639.3,1646.8,0
DUSS,20240209,1452.9,1461.76,1449.95,1460.29,0
DUTH,20240209,6.66,6.66,0.01,6.66,0
DUTW,20240209,0.01,13.33,0.01,13.33,0
DVCA,20240209,7.08,51.97,7.08,49.91,0
DVCC,20240209,1.29,16.85,1.29,11.64,0
DVCE,20240209,144.68,763.7,144.68,763.7,0
DVCN,20240209,184.28,1776.86,184.28,1776.86,0
DVCQ,20240209,205.51,1131.89,205.51,1131.89,0
DVCS,20240209,11.26,111.84,11.26,111.84,0
DVCT,20240209,396.88,2958.67,396.88,2958.67,0
DVCU,20240209,0.02,1724.53,0.02,1339.69,0
DVCV,20240209,6.86,34.87,6.84,31.37,0
DVCX,20240209,19.42,154.87,19.42,154.87,0
DWCB,20240209,5639.89,5678.27,5609.82,5671.91,0
ESFD,20240209,59.17,63.92,47.15,63.92,0
ESFI,20240209,61.07,62.34,58.22,62.02,0
ESOF,20240209,69.62,69.62,67.4,68.67,0
ESOH,20240209,76.26,76.26,72.78,73.41,0
ESTH,20240209,69.62,69.62,66.13,67.4,0
ESTW,20240209,57.27,57.27,53.16,56.64,0
F1DA,20240209,-9.98,-9.98,-9.98,-9.98,20900
F1DB,20240209,99.88,99.88,99.88,99.88,2800
F1DC,20240209,701.66,701.66,701.66,701.66,193700
F1DF,20240209,272.37,272.37,272.37,272.37,7200
F1DG,20240209,11654.79,11654.79,11654.79,11654.79,100400
F1DH,20240209,14425,14425,14425,14425,379100
F1DI,20240209,473.78,473.78,473.78,473.78,7800
F1DJ,20240209,-33.68,-33.68,-33.68,-33.68,3000
F1DK,20240209,6623.2,6623.2,6623.2,6623.2,6400
F1DL,20240209,-47.95,-47.95,-47.95,-47.95,333800
F1DM,20240209,-176.42,-176.42,-176.42,-176.42,3800
F1DN,20240209,5067.42,5067.42,5067.42,5067.42,207000
F1DO,20240209,7929.78,7929.78,7929.78,7929.78,10100
F1DP,20240209,10270.83,10270.83,10270.83,10270.83,50300
F1DQ,20240209,9319.62,9319.62,9319.62,9319.62,309500
F1DR,20240209,-62.14,-62.14,-62.14,-62.14,3100
F1DS,20240209,842.69,842.69,842.69,842.69,6400
F1DT,20240209,329.68,329.68,329.68,329.68,2300
F1DU,20240209,86.3,86.3,86.3,86.3,327400
F1DV,20240209,14290.75,14290.75,14290.75,14290.75,385600
F1DW,20240209,-40.79,-40.79,-40.79,-40.79,2200
F1DX,20240209,14377.06,14377.06,14377.06,14377.06,537500
F1DY,20240209,1942.25,1942.25,1942.25,1942.25,5200
F1DZ,20240209,12350.68,12350.68,12350.68,12350.68,267700
F1HA,20240209,2.18,2.18,2.18,2.18,20900
